id,subject_id,mturk_id,task_type,gender,race,education_level,cognitive_reflection_1,cognitive_reflection_2,cognitive_reflection_3,rgpts_ref_1 ,rgpts_ref_2,rgpts_ref_3,rgpts_ref_4,rgpts_ref_5,rgpts_ref_6,rgpts_ref_7,rgpts_ref_8,rgpts_per_1,rgpts_per_2,rgpts_per_3,rgpts_per_4,rgpts_per_5,rgpts_per_6,rgpts_per_7,rgpts_per_8,rgpts_per_9,rgpts_per_10,paranoia_score,referential_group,persecution_group,What do you think the partner game was testing?,"Did you use any particular strategy or strategies? If yes, please describe.",Did you find yourself switching strategies over the course of the game?,Did any of the partners deliberately sabotage you?,Do you have any comments or feedback about the game or this survey?,wsr_avg,mu02_avg,mu03_avg,kappa_avg,omega2_avg,omega3_avg
1,TP117,A2541C8MY0BYV3,social,Male,White,"Bachelor's degree (e.g., BA, BS)",10,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,How long it would take for us to switch to a different partner,I would stick with a partner until they received 3 negative scores in a row.,"I did. At first I found a pattern, but that pattern changed and I had to also change strategies and find a different pattern.",-2,It was fun and interesting to try and figure out. ,0,-0.134659464,-0.035433654,0.428226633,2.8477806,-0.923158007
2,TP118,A3JSDZMBS8L87S,social,Male,White,"Some college or university, no degree",10,100,24,0,3,1,1,1,0,3,0,2,0,2,0,0,0,0,0,0,0,0.722222222,low,low,I think it was testing how much we trust other people. I think it was also testing how much we are willing to take risks.,No.,No.,-2,None,0.017857143,-0.326275518,-0.491823644,0.455289998,2.403275798,-0.568285865
3,TP119,A1PR74OHURJNTO,social,Male,White,"Master's degree (e.g., MA, MS, MEd)",5,5,47,,1,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0.25,low,low,I think it was testing our willingness to take risks or stay with something tried and true.  I'm not sure though.,"If I was losing points more than half the time, I switched.",Not really.,-3,"I thought it was kind of fun, actually.  Thanks!  I feel like I did pretty well, too, although who knows.  I might even have made it into the top 25%.  I feel pretty good about my performance overall, basically.",0,-0.011850434,0.992294318,0.602293526,-1.934080703,-1.995327575
4,TP120,A1CSDIX05PK9V,social,Male,White,"Bachelor's degree (e.g., BA, BS)",0.1,100,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,your leadership skills,no,yes i did,-2,no comments,0.01,-0.129578146,-0.744700706,0.446319747,2.16922244,0.213838028
5,TP122,A1JJYY622DGE5L,social,Female,White,"Bachelor's degree (e.g., BA, BS)",10,100,47,1,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0.444444444,low,low,I honestly do not know! ,I tried to select the same person as long as i was getting postive scores then i tried to figure out a sequence,n/a,-2,noo,0,-0.91445053,-3.778985391,0.431306101,0.408209929,-1.664933889
6,TP123,A3A8P4UR9A0DWQ,social,Female,White,"Bachelor's degree (e.g., BA, BS)",9,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,quick decisions,i'd give each one a couple clicks then i'd move on,"yes, last parts...i got more 100s from continued clicking on one or 2",-1,none. thank you.,0,-0.16001008,0.193607872,0.434765787,2.922667621,-1.432482547
7,TP124,A3U21PUMQ6NGT2,social,Female,White,"Some college or university, no degree",0.05,5,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,low,low,not sure,"switch when one messes up. also, first i tested to see if any are better. 3 seemed bad so i swtiched between 1 and 2.","kind of. more like i started off just doing largeish samples for each one to see if any are particularly bad or good. 3 seemed bad, and 1 and 2 seemed good. So i alternated between them.",1,no,0.019230769,-0.1000883,-0.05459093,0.423322353,3.029004698,-1.458210782
8,TP125,AH4MHB0B0PJMU,social,Male,Black or African American,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,willingness to take risks on a new partner,"not particularly, I tried counting 'yes' cards but that didn't last long",I tried to find patterns but it didn't last more than one or two rounds,1,,0,-0.449526559,-2.951923776,0.41156955,1.397735574,-1.615639628
9,TP127,A2CWNRI11XJ7WX,social,Male,Black or African American,"Associate degree (e.g., AA, AS)",0.05,5,47,2,0,3,3,0,0,4,4,0,0,3,0,0,0,0,3,0,0,1.222222222,high,low,Unsure. Maybe about how fast we are willing to switch partners,"I stayed on one partner until that partner gave a negative score, then I switched.",No,2,,0.081051717,-0.183403018,0.027461502,0.456568626,2.281069323,-0.800922042
10,TP128,AUCHGHY1IKZZK,social,Male,White,"Associate degree (e.g., AA, AS)",10,100,24,3,2,2,2,2,4,2,1,3,2,1,1,4,1,1,1,1,3,2.055555556,high,high,I am not sure.,No.,No.,1,Everything was great!,0.213423831,0.139225367,-0.155865305,0.524013855,1.491573393,0.066920876
11,TP129,A10YS8AVLQWUZZ,social,Male,White,"Bachelor's degree (e.g., BA, BS)",10,100,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,To see if people could detect a pattern or stick with someone even if it was negative,Just rotated around seeing which was beneficial,No,2,,0.008928572,-0.782634438,-3.434876325,0.436887676,0.645468325,-1.348705077
12,TP130,A3IR7DFEKLLLO,social,Male,White,"Bachelor's degree (e.g., BA, BS)",0.05,5,47,1,1,2,2,0,1,3,2,2,0,0,0,0,0,0,0,1,0,0.833333333,low,low,i dont know,just try to find best person,no,-2,,0.00862069,-0.134539013,0.466209852,0.413119444,2.72440202,-0.784877684
13,TP134,A1VWP7HOSGKATD,social,Male,Black or African American,"Master's degree (e.g., MA, MS, MEd)",5,5,47,3,4,3,2,4,3,2,3,4,4,1,2,3,2,3,,2,,2.8125,high,high,I have no idea,I just kept going with the winning partner until it no longer won,No,-1,,0.645488722,0.005436002,0.99218615,0.606940828,-1.774929882,-1.98894145
